index,symbol,name,date,isEnabled,type,iexId
245,AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,7/19/2018,TRUE,ps,14256
246,AJG,Arthur J. Gallagher & Co.,7/19/2018,TRUE,cs,219
247,AJRD,Aerojet Rocketdyne Holdings Inc.,7/19/2018,TRUE,cs,3085
248,AJX,Great Ajax Corp.,7/19/2018,TRUE,cs,9721
249,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,7/19/2018,TRUE,N/A,12830
250,AKAM,Akamai Technologies Inc.,7/19/2018,TRUE,cs,220
251,AKAO,Achaogen Inc.,7/19/2018,TRUE,cs,8311
252,AKBA,Akebia Therapeutics Inc.,7/19/2018,TRUE,cs,8337
253,AKCA,Akcea Therapeutics Inc.,7/19/2018,TRUE,cs,13082
254,AKER,Akers Biosciences Inc,7/19/2018,TRUE,cs,8225
255,AKG,Asanko Gold Inc.,7/19/2018,TRUE,cs,221
256,AKO.A,Embotelladora Andina S.A.,7/19/2018,TRUE,cs,222
257,AKO.B,Embotelladora Andina S.A.,7/19/2018,TRUE,cs,223
258,AKP,Alliance California Municipal Income Fund Inc,7/19/2018,TRUE,cs,224
259,AKR,Acadia Realty Trust,7/19/2018,TRUE,cs,225
260,AKRX,Akorn Inc.,7/19/2018,TRUE,cs,226
261,AKS,AK Steel Holding Corporation,7/19/2018,TRUE,cs,227
262,AKTS,Akoustis Technologies Inc.,7/19/2018,TRUE,cs,12461
263,AKTX,Akari Therapeutics Plc,7/19/2018,TRUE,cs,8249
264,AL,Air Lease Corporation Class A,7/19/2018,TRUE,cs,228
265,ALB,Albemarle Corporation,7/19/2018,TRUE,cs,229
266,ALBO,Albireo Pharma Inc.,7/19/2018,TRUE,cs,752
267,ALCO,Alico Inc.,7/19/2018,TRUE,cs,230
268,ALD,WisdomTree Asia Local Debt Fund,7/19/2018,TRUE,et,232
269,ALDR,Alder BioPharmaceuticals Inc.,7/19/2018,TRUE,cs,8477
270,ALDX,Aldeyra Therapeutics Inc.,7/19/2018,TRUE,cs,8338
271,ALE,Allete Inc.,7/19/2018,TRUE,cs,234
272,ALEX,Alexander & Baldwin Inc. REIT Holding Company,7/19/2018,TRUE,cs,13761
273,ALFA,AlphaClone Alternative Alpha,7/19/2018,TRUE,et,236
274,ALG,Alamo Group Inc.,7/19/2018,TRUE,cs,237
275,ALGN,Align Technology Inc.,7/19/2018,TRUE,cs,238
276,ALGRU,Allegro Merger Corp. Unit,7/19/2018,TRUE,su,14793
277,ALGT,Allegiant Travel Company,7/19/2018,TRUE,cs,239
278,ALIM,Alimera Sciences Inc.,7/19/2018,TRUE,cs,240
279,ALJJ,ALJ Regional Holdings Inc.,7/19/2018,TRUE,cs,11361
280,ALK,Alaska Air Group Inc.,7/19/2018,TRUE,cs,242
281,ALKS,Alkermes plc,7/19/2018,TRUE,cs,243
282,ALL,Allstate Corporation (The),7/19/2018,TRUE,cs,244
283,ALL-A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,7/19/2018,TRUE,ps,245
284,ALL-B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,7/19/2018,TRUE,N/A,246
285,ALL-C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,7/19/2018,TRUE,ps,7892
286,ALL-D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,7/19/2018,TRUE,ps,8185
287,ALL-E,Allstate Corporation Depositary Shares Series E,7/19/2018,TRUE,ps,8323
288,ALL-F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,7/19/2018,TRUE,ps,8857
289,ALL-G,Allstate Corporation (The) Depositary Shares Series G,7/19/2018,TRUE,ps,14338
290,ALLE,Allegion plc,7/19/2018,TRUE,cs,8103
291,ALLK,,7/19/2018,TRUE,N/A,14771
292,ALLT,Allot Communications Ltd.,7/19/2018,TRUE,cs,248
293,ALLY,Ally Financial Inc.,7/19/2018,TRUE,cs,249
294,ALLY-A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,7/19/2018,TRUE,ps,250
295,ALN,American Lorain Corporation,7/19/2018,TRUE,cs,252
296,ALNA,Allena Pharmaceuticals Inc.,7/19/2018,TRUE,cs,13516
297,ALNY,Alnylam Pharmaceuticals Inc.,7/19/2018,TRUE,cs,253
298,ALO,Alio Gold Inc. (Canada),7/19/2018,TRUE,cs,6763
299,ALOT,AstroNova Inc.,7/19/2018,TRUE,cs,255
